idcomunidad,nombre,anio,num_incendios,supquemada,median_llegpmt,median_ctrl,median_ext
5,ASTURIAS,2001,482,642.3,31.5,107,158.5
6,CANTABRIA,2001,351,573.42,30,165,225
1,EUSKADI,2001,119,730.74,25,120,165
16,MADRID,2001,294,250.96,21.5,45,113
11,CASTILLA-MANCHA,2001,849,1876.48,20,60,109
17,CASTILLA Y LEON,2001,1779,6049.5,20,90,165
8,MURCIA,2001,134,74.24,20,50,90
9,C. VALENCIANA,2001,421,3286.96,20,65,160
4,ANDALUCIA,2001,863,5895.82,20,75,135
15,ILLES BALEARS,2001,127,497.22,20,66,165
10,ARAGON,2001,330,4030.48,20,65,162.5
7,LA RIOJA,2001,114,24.16,17,90,136
3,GALICIA,2001,9905,7805.64,15,60,100
14,EXTREMADURA,2001,1030,3082.92,15,55,93.5
12,CANARIAS,2001,58,357.2,15,72.5,152.5
2,CATALUÑA,2001,722,1986.5,15,45,90
5,ASTURIAS,2002,610,4947.2,30,139.5,190
6,CANTABRIA,2002,366,1989.46,30,200,285
1,EUSKADI,2002,152,795.88,30,102.5,181.5
10,ARAGON,2002,275,1008.36,25,80,167
11,CASTILLA-MANCHA,2002,941,2207.74,25,60,110
4,ANDALUCIA,2002,848,4733.48,22,75,150
17,CASTILLA Y LEON,2002,1296,6257.72,20,90,150
15,ILLES BALEARS,2002,73,19.28,20,45,96
8,MURCIA,2002,135,29.34,20,50,95
13,NAVARRA,2002,41,149.2,20,45,104
9,C. VALENCIANA,2002,290,616.88,20,75,150
16,MADRID,2002,312,138.96,19.5,42,99
2,CATALUÑA,2002,543,1903.4,16,49,100
7,LA RIOJA,2002,106,63.96,16,75,110.5
12,CANARIAS,2002,43,172.5,15,45,93
14,EXTREMADURA,2002,957,3005.72,15,60,100
3,GALICIA,2002,10686,15059.18,15,55,100
5,ASTURIAS,2003,792,2011.06,36,125,185
1,EUSKADI,2003,110,547.12,30,115,195
6,CANTABRIA,2003,239,649.86,30,180,270
10,ARAGON,2003,309,1242.32,24,70,158
16,MADRID,2003,322,2880.54,23,50,113.5
9,C. VALENCIANA,2003,353,850.18,20,65,165
13,NAVARRA,2003,125,48.8,20,59,103
8,MURCIA,2003,147,82.76,20,55,90
11,CASTILLA-MANCHA,2003,1035,7220.8,20,55,110
4,ANDALUCIA,2003,997,9545.3,20,80,155
12,CANARIAS,2003,71,692.12,20,55,168
17,CASTILLA Y LEON,2003,1425,15488.32,18,75,150
7,LA RIOJA,2003,63,18.6,15,65,105
2,CATALUÑA,2003,693,14653.96,15,49,95
15,ILLES BALEARS,2003,126,313.16,15,47,118.5
3,GALICIA,2003,8494,9839.24,15,55,100
14,EXTREMADURA,2003,1180,24155.28,15,60,100
5,ASTURIAS,2004,679,829.8,35,110,150
6,CANTABRIA,2004,163,197.56,30,135,195
9,C. VALENCIANA,2004,434,838.56,25,75,165
4,ANDALUCIA,2004,942,63500.16,24.5,80,165
13,NAVARRA,2004,102,61.26,20.5,59,92
8,MURCIA,2004,101,108.06,20,50,90
1,EUSKADI,2004,61,123.48,20,90,155
17,CASTILLA Y LEON,2004,1727,5533.78,20,75,148
11,CASTILLA-MANCHA,2004,1349,3216.96,20,51,94
10,ARAGON,2004,405,1195.74,20,70,150
15,ILLES BALEARS,2004,170,81.48,20,58,130.5
16,MADRID,2004,372,617.18,19,38,91
12,CANARIAS,2004,88,194.1,18,75,186
2,CATALUÑA,2004,564,787.02,15,50,95
3,GALICIA,2004,10560,20163.7,15,55,95
14,EXTREMADURA,2004,1426,3408.78,15,60,100
7,LA RIOJA,2004,46,5.64,15,75,114.5
18,CEUTA,2004,3,10.0,15,255,420
5,ASTURIAS,2005,820,1498.94,44,130,193.5
6,CANTABRIA,2005,424,1416.6,30,150,225
4,ANDALUCIA,2005,1351,9517.02,28,80,165
1,EUSKADI,2005,90,553.3,25,120,225
11,CASTILLA-MANCHA,2005,1073,30251.48,24,60,120
16,MADRID,2005,423,132.32,22,40,95
17,CASTILLA Y LEON,2005,2442,18629.64,20,75,142
9,C. VALENCIANA,2005,631,1305.02,20,70,150
10,ARAGON,2005,643,1612.16,20,70,150
8,MURCIA,2005,115,69.78,20,60,115
12,CANARIAS,2005,132,3723.94,19.5,52.5,127.5
15,ILLES BALEARS,2005,141,97.64,19,49,124
7,LA RIOJA,2005,103,69.9,19,60,99
13,NAVARRA,2005,670,811.94,18,37,89
3,GALICIA,2005,11963,44122.82,15,55,104
2,CATALUÑA,2005,889,7204.38,15,55,110
14,EXTREMADURA,2005,930,14167.28,15,67,120
5,ASTURIAS,2006,848,4011.82,42,111,153
6,CANTABRIA,2006,383,635.62,30,150,210
10,ARAGON,2006,377,3112.0,25,70,160
4,ANDALUCIA,2006,823,2057.18,25,71,140
9,C. VALENCIANA,2006,451,2204.18,23,75,165
11,CASTILLA-MANCHA,2006,682,2596.2,22,50,109.5
15,ILLES BALEARS,2006,121,97.74,22,59,119
16,MADRID,2006,269,58.08,21,36,94
12,CANARIAS,2006,99,2030.38,21,59,146
17,CASTILLA Y LEON,2006,1419,6235.4,20,60,121
13,NAVARRA,2006,118,521.42,20,46.5,74
8,MURCIA,2006,85,15.76,20,45,90
3,GALICIA,2006,6832,105707.18,20,65,135
1,EUSKADI,2006,64,40.8,17.5,60,120
7,LA RIOJA,2006,73,25.4,17,60,96
2,CATALUÑA,2006,628,3621.3,15,45,94.5
14,EXTREMADURA,2006,671,2467.64,15,60,120
5,ASTURIAS,2007,474,594.38,40,98,135.5
6,CANTABRIA,2007,276,395.34,30,120,165
4,ANDALUCIA,2007,811,2780.46,28,70,150
10,ARAGON,2007,401,1480.98,25,70,165
9,C. VALENCIANA,2007,366,3268.02,24,75,165
11,CASTILLA-MANCHA,2007,691,214.04,24,53,105
15,ILLES BALEARS,2007,111,45.2,21,56,133
1,EUSKADI,2007,66,79.06,20.5,120,169
12,CANARIAS,2007,121,42015.6,20,62,120
17,CASTILLA Y LEON,2007,1314,1209.74,20,60,120
16,MADRID,2007,230,20.32,20,36,81
8,MURCIA,2007,100,2.48,20,50,120
7,LA RIOJA,2007,92,16.68,20,71.5,114.5
3,GALICIA,2007,3139,2374.44,18,50,100
13,NAVARRA,2007,503,218.6,16,50,79
14,EXTREMADURA,2007,678,2062.64,15,70,118.5
2,CATALUÑA,2007,578,1694.9,15,49,95
5,ASTURIAS,2008,783,691.22,45,113,142
6,CANTABRIA,2008,388,1139.26,30,135,207.5
11,CASTILLA-MANCHA,2008,709,341.36,27,52,100
4,ANDALUCIA,2008,764,690.1,27,70,150
16,MADRID,2008,219,8.4,21,39,78
17,CASTILLA Y LEON,2008,1901,4899.12,20,65,120
15,ILLES BALEARS,2008,115,7.3,20,62,118
9,C. VALENCIANA,2008,322,548.96,20,68.5,147
14,EXTREMADURA,2008,824,376.48,20,80,156
10,ARAGON,2008,345,3964.4,20,60,135
1,EUSKADI,2008,78,76.74,20,94.5,135
3,GALICIA,2008,2545,1996.46,19,51,90
7,LA RIOJA,2008,110,16.04,17.5,70,100
8,MURCIA,2008,108,49.74,17,42.5,85.5
12,CANARIAS,2008,132,751.98,15,40,93
2,CATALUÑA,2008,421,379.64,15,50,95
13,NAVARRA,2008,584,341.92,15,74,80
5,ASTURIAS,2009,704,992.82,54,128,161.5
6,CANTABRIA,2009,720,610.86,30,115,150
10,ARAGON,2009,436,20156.68,27,69,155.5
4,ANDALUCIA,2009,1000,1930.84,26.5,78,170
1,EUSKADI,2009,83,921.24,25,70,130
11,CASTILLA-MANCHA,2009,893,9815.54,22,53,113
17,CASTILLA Y LEON,2009,2512,15568.9,20,70,131
8,MURCIA,2009,120,132.56,20,46.5,102.5
9,C. VALENCIANA,2009,423,3787.24,20,70,160
16,MADRID,2009,323,31.16,20,40,93
14,EXTREMADURA,2009,837,4790.16,19,70,145
15,ILLES BALEARS,2009,113,104.28,19,56,100
3,GALICIA,2009,3967,4553.8,17,53,107
13,NAVARRA,2009,666,1182.52,17,68,87
7,LA RIOJA,2009,112,67.88,15,69.5,115
12,CANARIAS,2009,120,5810.6,15,40.5,100.5
2,CATALUÑA,2009,747,3369.42,15,50,98
5,ASTURIAS,2010,971,1030.2,44,118,145
6,CANTABRIA,2010,682,1208.18,30,120,179.5
4,ANDALUCIA,2010,541,199.6,28,75,150
10,ARAGON,2010,335,1147.38,25,60,135
9,C. VALENCIANA,2010,326,3010.86,25,70,165
11,CASTILLA-MANCHA,2010,455,338.28,23,49,105
15,ILLES BALEARS,2010,99,862.34,22,67,117
17,CASTILLA Y LEON,2010,1104,3010.0,21,58,122
7,LA RIOJA,2010,105,45.48,20,60,110
8,MURCIA,2010,131,979.58,20,45,95
16,MADRID,2010,173,1.34,20,40,71
12,CANARIAS,2010,111,25.0,18,40,106
1,EUSKADI,2010,114,493.76,17.5,95.5,169
13,NAVARRA,2010,592,530.42,17,60,80
3,GALICIA,2010,3836,6069.04,16,52,118.5
2,CATALUÑA,2010,474,521.14,15,45,90
14,EXTREMADURA,2010,545,469.62,15,75,153
5,ASTURIAS,2011,918,2742.14,51,129.5,168
4,ANDALUCIA,2011,739,650.5,31,80,160
6,CANTABRIA,2011,693,1008.88,30,120,180
10,ARAGON,2011,435,402.06,25,70,150
11,CASTILLA-MANCHA,2011,735,1416.24,25,56,116
9,C. VALENCIANA,2011,413,1288.2,23,84,178
13,NAVARRA,2011,165,52.62,21,69,91
17,CASTILLA Y LEON,2011,2064,4016.82,21,67,138.5
8,MURCIA,2011,129,715.68,20,49,95
14,EXTREMADURA,2011,847,1825.2,20,75,160
7,LA RIOJA,2011,79,16.72,20,64,113
15,ILLES BALEARS,2011,152,3398.2,20,79,143.5
1,EUSKADI,2011,139,280.86,20,85,150
16,MADRID,2011,272,1.72,19,37,82
3,GALICIA,2011,6342,18540.76,18,60,132
12,CANARIAS,2011,98,15.72,15,52,120
2,CATALUÑA,2011,586,429.02,15,50,104
5,ASTURIAS,2012,1973,4164.32,44,125,161
6,CANTABRIA,2012,620,2022.62,30,150,210
4,ANDALUCIA,2012,850,5017.06,30,92,181.5
10,ARAGON,2012,534,5126.7,26,70.5,160
11,CASTILLA-MANCHA,2012,1140,14660.86,25,64,120
9,C. VALENCIANA,2012,465,51877.88,22,82,173
15,ILLES BALEARS,2012,147,375.62,22,79,165
12,CANARIAS,2012,135,15813.44,21,60,176
1,EUSKADI,2012,139,351.86,20,81,115
8,MURCIA,2012,123,2158.68,20,50,99
14,EXTREMADURA,2012,1023,2307.32,20,75,155
17,CASTILLA Y LEON,2012,2399,30690.78,20,66,124
13,NAVARRA,2012,659,1306.34,20,66,70
16,MADRID,2012,333,1773.42,18,34,101
3,GALICIA,2012,3794,10077.48,18,55,108
7,LA RIOJA,2012,105,34.96,17,65,120
2,CATALUÑA,2012,748,15499.3,15,55,110
